ID,German_Word,Plural_Form,English_Translation,Word_Type,Gender,Example_Sentence_DE,Example_Sentence_EN
1,die Ansage,-n,announcement,Noun,f,Hören Sie auf die Ansagen.,Listen to the announcements.
2,der Anschluss,,connection,Noun,m,In Mannheim haben Sie Anschluss nach Saarbrücken.,In Mannheim you have a connection to Saarbrücken.
3,der Anschluss,,connection,Noun,m,Ist das die Anmeldung für einen Telefonanschluss?,Is that the application for a telephone connection?
4,an sein,,to be (switched) on,Verb,,Heute Nacht war das Licht an.,The light was on tonight.
5,antworten,,to answer,Verb,,Er antwortet nicht.,He isn’t answering.
6,die Antwort,-en,answer,Noun,f,Er gibt leider keine Antwort.,Unfortunately he isn't giving an answer.
7,die Anzeige,-n,advert,Noun,f,Ich habe Ihre Anzeige in der Zeitung gelesen.,I read your advert in the newspaper.
8,(sich) anziehen,,to get dressed,Verb,,Ich muss mich noch anziehen.,I still need to get dressed.
9,das Apartment,-s,apartment,Noun,n,Wir haben ein Apartment gemietet.,We rented an apartment.
10,der Apfel,-Ä,apple,Noun,m,Ein Pfund Äpfel bitte.,"One pound of apples, please."
11,der Appetit,,…,Noun,m,Guten Appetit!,Bon appetit!
12,arbeiten,,to work,Verb,,Wo arbeiten Sie?,Where do you work?
13,die Arbeit,-en,work,Noun,f,Mein Bruder sucht Arbeit.,My brother is looking for work.
14,arbeitslos,,unemployed,Verb,,"Es gibt bei uns viele Leute, die schon lange arbeitslos sind.",We have a lot of people who have been unemployed for a long time.
15,der Arbeitsplatz,"-ä, e",workplace,Noun,m,An meinem Arbeitsplatz fehlt ein Drucker.,There is no printer at my workplace.
16,der Arm,-e,arm,Noun,m,Mein Arm tut weh.,My arm hurts.
17,der Arzt,"-Ä, e",doctor,Noun,m,Morgen habe ich einen Termin bei meiner Ärztin.,Tomorrow I have an appointment with my doctor.
18,auch,,also,Verb,,Ich bin auch Spanier.,I am also Spanish.
19,auf,,on,Verb,,Die Kinder spielen auf der Straße.,The children play on the street.
20,auf,,until,Verb,,Auf Wiedersehen.,goodbye (in person)
21,auf,,in,Verb,,Wie heißt das auf Deutsch?,What’s that called in German?
22,die Aufgabe,-n,task,Noun,f,Das ist eine schwere Aufgabe.,That is a difficult task.
23,aufhören,,to end,Verb,,Der Kurs hört in einer Woche auf.,The course ends in a week.
24,aufhören,,to end,Verb,,Hier hört die Bahnhofstraße auf.,Bahnhofstraße ends here.
25,auf sein,,to be open,Verb,,Du brauchst den Schlüssel nicht. Die Wohnung ist auf.,You don’t need the key. The flat is open.
26,aufstehen,,to get up,Verb,,Ich muss immer um vier Uhr aufstehen.,I always need to get up at 4 am.
27,aufstehen,,to get up,Verb,,Soll ich aufstehen?,Should I get up?
28,der Aufzug,"-ü, e",lift,Noun,m,In diesem Haus gibt es keinen Aufzug.,There is no lift in this building.
29,das Auge,-n,eye,Noun,n,Er hat blaue Augen.,He has blue eyes.
30,aus,,from,Verb,,Er kommt aus Brasilien.,He comes from Brazil.
31,der Ausflug,,excursion,Noun,m,Morgen machen wir einen Ausflug nach Heidelberg.,Tomorrow we are going on an excursion to Heidelberg.
32,ausfüllen,,to fill out,Verb,,Füllen Sie bitte dieses Formular aus.,Please fill out this form.
33,der Ausgang,,exit,Noun,m,Wo ist der Ausgang?,Where is the exit?
34,die Auskunft,"-ü, e",information/details,Noun,f,Können Sie mir eine Auskunft geben?,Can you give me some information?
35,das Ausland,,abroad/overseas,Noun,n,Fahren Sie ins Ausland?,Do you travel abroad?
36,der Ausländer,-,foreigner,Noun,m,Sind Sie Ausländerin?,Are you a foreigner?
37,ausländisch,,foreign,Verb,,Leider habe ich nur ausländisches Geld.,Unfortunately I only have foreign money.
38,ausmachen,,to switch off,Verb,,Mach bitte das Licht aus!,Please switch off the light!
39,die Aussage,-n,statement,Noun,f,Ist die Aussage richtig oder falsch?,Is the statement true or false?
40,aussehen,,to look,Verb,,Das sieht schön aus.,That looks beautiful.
41,aus sein,,to be (switched) off,Verb,,Das Licht ist aus.,The light is off.
42,aus sein,,to be out,Verb,,Die Schule ist aus.,School is out.
43,aussteigen,,to alight,Verb,,Wo muss ich aussteigen?,Where do I need to alight?
44,der Ausweis,,identity card,Noun,m,Hier ist mein Ausweis.,Here is my identity card.
45,ausziehen,,to take off,Verb,,"Zieh die Schuhe aus, bitte!",Please take off your shoes!
46,sich ausziehen,,to get undressed,Verb,,Ich ziehe mich aus.,I get undressed.
47,das Auto,-s,car,Noun,n,Er kommt mit dem Auto.,He’s coming by car.
48,die Autobahn,-en,motorway,Noun,f,Wo geht‘s hier bitte zur Autobahn?,How do I get to the motorway?
49,der Automat,,machine,Noun,m,Die Fahrkarten gibt es nur am Automaten.,Tickets are only available from the machine.
50,automatisch,,automatic,Verb,,Du musst nichts machen. Das geht automatisch.,You don’t need to do anything. It's automatic.
51,das Baby,-s,baby,Noun,n,Mein Kind ist noch ein Baby.,My child is still a baby.
52,die Bäckerei,,bakery,Noun,f,Ich geh mal schnell zur Bäckerei.,I’m just popping to the bakery.
53,das Bad,,bathroom,Noun,n,Wir haben kein großes Bad.,We don’t have a large bathroom.
54,baden,,to bathe,Verb,,"Ich bade nicht so gern, ich dusche lieber.","I don’t like bathing so much, I prefer to shower."
55,die Bahn,,train,Noun,f,Wir fahren lieber mit der Bahn.,We prefer to travel by train.
56,die Bahn,,train,Noun,f,Ich nehme die nächste Bahn.,I’ll take the next train.
57,der Bahnhof,,train station,Noun,m,Komme ich hier zum Bahnhof?,Is this the way to the train station?
58,der Bahnsteig,,platform,Noun,m,Auf welchem Bahnsteig fährt der Zug?,From which platform does the train depart?
59,bald,,soon,Verb,,Ich komme bald.,I’m coming soon.
60,der Balkon,,balcony,Noun,m,Die Wohnung hat auch einen kleinen Balkon.,The flat also has a small balcony.
61,die Banane,-n,banana,Noun,f,"Drei Bananen, bitte!","Three bananas, please!"
62,die Bank,,bank,Noun,f,Die Bank schließt schon um vier Uhr.,The bank closes at 4 pm already.
63,die Bank,,bench,Noun,f,Er sitzt im Park auf einer Bank und liest.,He’s sits in the park on a bench and reads.
64,bar,,cash,Verb,,Muss ich bar zahlen oder geht‘s auch mit Karte?,"Do I have to pay in cash, or can I also pay by card?"
65,der Bauch,,stomach,Noun,m,Seit gestern tut mir der Bauch weh.,My stomach has been hurting since yesterday.
66,der Baum,"-ä, e",tree,Noun,m,"Vorsicht, fahr nicht an den Baum!","Careful, don’t drive into the tree!"
67,der Beamte,-n,official,Noun,m,Fragen Sie die Beamtin an Schalter acht!,Ask the official at counter eight!
68,bedeuten,,to mean,Verb,,Was bedeutet das Wort?,What does that word mean?
69,beginnen,,to begin,Verb,,Das Spiel beginnt um 15.30 Uhr.,The game begins at 3:30 pm.
70,bei,,next to,Verb,,Offenbach liegt bei Frankfurt.,Offenbach is next to Frankfurt.
71,bei,,at,Verb,,Ich wohne bei meinen Eltern.,I live at my parents’ place.
72,bei uns,,here / where we are,Verb,,Bei uns regnet es heute.,It is raining here today.
73,bei,,for,Verb,,Er arbeitet bei der Polizei.,He works for the police.
74,beide,,both,Verb,,Beide Eltern arbeiten.,Both parents work.
75,beide,,both,Verb,,Wir kommen beide.,We are both coming.
76,das Bein,-e,leg,Noun,n,Mein rechtes Bein tut weh.,My right leg hurts.
77,das Beispiel,-e,example,Noun,n,Kannst du mir ein Beispiel sagen?,Can you give me an example?
78,zum Beispiel/z. B.,,for example,Verb,,"Viele meiner Verwandten, z. B. meine beiden Brüder, arbeiten auch hier.","Many of my relatives, for example, both of my brothers, also work here."
79,bekannt,,well known,Verb,,Picasso ist sehr bekannt.,Picasso is very well known.
80,der/die Bekannte,-n,acquaintance,Verb,,Ein Bekannter von mir heißt Klaus.,An acquaintance of mine is called Klaus.
81,bekommen,,to receive,Verb,,Haben Sie meinen Brief bekommen?,Did you receive my letter?
82,bekommen,,to have,Verb,,Was bekommen Sie?,What will you have?
83,bekommen,,to get,Verb,,Dieses Medikament bekommen Sie in der Apotheke.,You can get this medicine in a pharmacy.
84,benutzen,,to use,Verb,,Die Aufzüge bitte nicht benutzen!,Please don’t use the lifts!
85,der Beruf,-e,profession,Noun,m,Was sind Sie von Beruf?,What is your profession?
86,der Beruf,-e,occupation,Noun,m,Was ist Ihr Beruf?,What is your occupation?
87,besetzt,,busy,Verb,,Die Nummer ist immer besetzt.,The number is always busy.
88,besetzt,,taken,Verb,,Der Platz ist besetzt.,The seat is taken.
89,besichtigen,,to visit,Verb,,Ich möchte gern den Dom besichtigen.,I would like to visit the cathedral.
90,besser,,better,Verb,,Es geht mir schon besser.,I'm already feeling better.
91,best-,,best,Verb,,Am besten treffen wir uns morgen.,It's best that we meet tomorrow.
92,bestellen,,to order,Verb,,"Wir möchten bestellen, bitte.","We would like to order, please."
93,bestellen,,to order,Verb,,Dieses Buch haben wir nicht – sollen wir es für Sie bestellen?,"We don’t have this book, should we order it for you?"
94,besuchen,,to visit,Verb,,Darf ich dich besuchen?,May I visit you?
